Variable_ID,Variable_Name,Source_Table,Source_Field_or_Code,Category_ID,Derivation,Window,Unit,Entity_Level,Reference_Time,Missing_Rule,Definition_Version,Availability_Status,Reason
leaves_length__lag2,엽장 lag2,sfkr_pvsn_grow,leaves_length,CAT_027,lag 2,2 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__lag3,엽장 lag3,sfkr_pvsn_grow,leaves_length,CAT_027,lag 3,3 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll2_mean,엽장 roll2_mean,sfkr_pvsn_grow,leaves_length,CAT_027,mean,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll2_std,엽장 roll2_std,sfkr_pvsn_grow,leaves_length,CAT_027,std; ddof=0,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll2_min,엽장 roll2_min,sfkr_pvsn_grow,leaves_length,CAT_027,min,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll2_max,엽장 roll2_max,sfkr_pvsn_grow,leaves_length,CAT_027,max,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll2_slope,엽장 roll2_slope,sfkr_pvsn_grow,leaves_length,CAT_027,slope; per calendar day,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll3_mean,엽장 roll3_mean,sfkr_pvsn_grow,leaves_length,CAT_027,mean,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll3_std,엽장 roll3_std,sfkr_pvsn_grow,leaves_length,CAT_027,std; ddof=0,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll3_min,엽장 roll3_min,sfkr_pvsn_grow,leaves_length,CAT_027,min,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll3_max,엽장 roll3_max,sfkr_pvsn_grow,leaves_length,CAT_027,max,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll3_slope,엽장 roll3_slope,sfkr_pvsn_grow,leaves_length,CAT_027,slope; per calendar day,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll4_mean,엽장 roll4_mean,sfkr_pvsn_grow,leaves_length,CAT_027,mean,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll4_std,엽장 roll4_std,sfkr_pvsn_grow,leaves_length,CAT_027,std; ddof=0,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll4_min,엽장 roll4_min,sfkr_pvsn_grow,leaves_length,CAT_027,min,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll4_max,엽장 roll4_max,sfkr_pvsn_grow,leaves_length,CAT_027,max,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__roll4_slope,엽장 roll4_slope,sfkr_pvsn_grow,leaves_length,CAT_027,slope; per calendar day,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_num__current,엽수 current,sfkr_pvsn_grow,leaves_num,CAT_027,current valid observation,current,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__delta,엽수 delta,sfkr_pvsn_grow,leaves_num,CAT_027,current minus previous,1 survey,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__delta_per_day,엽수 delta_per_day,sfkr_pvsn_grow,leaves_num,CAT_027,delta / positive elapsed days,1 survey,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__lag1,엽수 lag1,sfkr_pvsn_grow,leaves_num,CAT_027,lag 1,1 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__lag2,엽수 lag2,sfkr_pvsn_grow,leaves_num,CAT_027,lag 2,2 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__lag3,엽수 lag3,sfkr_pvsn_grow,leaves_num,CAT_027,lag 3,3 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll2_mean,엽수 roll2_mean,sfkr_pvsn_grow,leaves_num,CAT_027,mean,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll2_std,엽수 roll2_std,sfkr_pvsn_grow,leaves_num,CAT_027,std; ddof=0,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll2_min,엽수 roll2_min,sfkr_pvsn_grow,leaves_num,CAT_027,min,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll2_max,엽수 roll2_max,sfkr_pvsn_grow,leaves_num,CAT_027,max,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll2_slope,엽수 roll2_slope,sfkr_pvsn_grow,leaves_num,CAT_027,slope; per calendar day,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll3_mean,엽수 roll3_mean,sfkr_pvsn_grow,leaves_num,CAT_027,mean,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll3_std,엽수 roll3_std,sfkr_pvsn_grow,leaves_num,CAT_027,std; ddof=0,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll3_min,엽수 roll3_min,sfkr_pvsn_grow,leaves_num,CAT_027,min,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll3_max,엽수 roll3_max,sfkr_pvsn_grow,leaves_num,CAT_027,max,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll3_slope,엽수 roll3_slope,sfkr_pvsn_grow,leaves_num,CAT_027,slope; per calendar day,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll4_mean,엽수 roll4_mean,sfkr_pvsn_grow,leaves_num,CAT_027,mean,4 valid surveys including current; min_periods=4,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll4_std,엽수 roll4_std,sfkr_pvsn_grow,leaves_num,CAT_027,std; ddof=0,4 valid surveys including current; min_periods=4,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll4_min,엽수 roll4_min,sfkr_pvsn_grow,leaves_num,CAT_027,min,4 valid surveys including current; min_periods=4,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll4_max,엽수 roll4_max,sfkr_pvsn_grow,leaves_num,CAT_027,max,4 valid surveys including current; min_periods=4,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_num__roll4_slope,엽수 roll4_slope,sfkr_pvsn_grow,leaves_num,CAT_027,slope; per calendar day,4 valid surveys including current; min_periods=4,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,raw history required
leaves_width__current,엽폭 current,sfkr_pvsn_grow,leaves_width,CAT_027,current valid observation,current,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__delta,엽폭 delta,sfkr_pvsn_grow,leaves_width,CAT_027,current minus previous,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__delta_per_day,엽폭 delta_per_day,sfkr_pvsn_grow,leaves_width,CAT_027,delta / positive elapsed days,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__lag1,엽폭 lag1,sfkr_pvsn_grow,leaves_width,CAT_027,lag 1,1 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__lag2,엽폭 lag2,sfkr_pvsn_grow,leaves_width,CAT_027,lag 2,2 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__lag3,엽폭 lag3,sfkr_pvsn_grow,leaves_width,CAT_027,lag 3,3 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll2_mean,엽폭 roll2_mean,sfkr_pvsn_grow,leaves_width,CAT_027,mean,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll2_std,엽폭 roll2_std,sfkr_pvsn_grow,leaves_width,CAT_027,std; ddof=0,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll2_min,엽폭 roll2_min,sfkr_pvsn_grow,leaves_width,CAT_027,min,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll2_max,엽폭 roll2_max,sfkr_pvsn_grow,leaves_width,CAT_027,max,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll2_slope,엽폭 roll2_slope,sfkr_pvsn_grow,leaves_width,CAT_027,slope; per calendar day,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll3_mean,엽폭 roll3_mean,sfkr_pvsn_grow,leaves_width,CAT_027,mean,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll3_std,엽폭 roll3_std,sfkr_pvsn_grow,leaves_width,CAT_027,std; ddof=0,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll3_min,엽폭 roll3_min,sfkr_pvsn_grow,leaves_width,CAT_027,min,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll3_max,엽폭 roll3_max,sfkr_pvsn_grow,leaves_width,CAT_027,max,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll3_slope,엽폭 roll3_slope,sfkr_pvsn_grow,leaves_width,CAT_027,slope; per calendar day,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll4_mean,엽폭 roll4_mean,sfkr_pvsn_grow,leaves_width,CAT_027,mean,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll4_std,엽폭 roll4_std,sfkr_pvsn_grow,leaves_width,CAT_027,std; ddof=0,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll4_min,엽폭 roll4_min,sfkr_pvsn_grow,leaves_width,CAT_027,min,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll4_max,엽폭 roll4_max,sfkr_pvsn_grow,leaves_width,CAT_027,max,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_width__roll4_slope,엽폭 roll4_slope,sfkr_pvsn_grow,leaves_width,CAT_027,slope; per calendar day,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__current,엽병장 current,sfkr_pvsn_grow,petiole_length,CAT_027,current valid observation,current,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__delta,엽병장 delta,sfkr_pvsn_grow,petiole_length,CAT_027,current minus previous,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__delta_per_day,엽병장 delta_per_day,sfkr_pvsn_grow,petiole_length,CAT_027,delta / positive elapsed days,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__lag1,엽병장 lag1,sfkr_pvsn_grow,petiole_length,CAT_027,lag 1,1 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__lag2,엽병장 lag2,sfkr_pvsn_grow,petiole_length,CAT_027,lag 2,2 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__lag3,엽병장 lag3,sfkr_pvsn_grow,petiole_length,CAT_027,lag 3,3 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll2_mean,엽병장 roll2_mean,sfkr_pvsn_grow,petiole_length,CAT_027,mean,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll2_std,엽병장 roll2_std,sfkr_pvsn_grow,petiole_length,CAT_027,std; ddof=0,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll2_min,엽병장 roll2_min,sfkr_pvsn_grow,petiole_length,CAT_027,min,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll2_max,엽병장 roll2_max,sfkr_pvsn_grow,petiole_length,CAT_027,max,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll2_slope,엽병장 roll2_slope,sfkr_pvsn_grow,petiole_length,CAT_027,slope; per calendar day,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll3_mean,엽병장 roll3_mean,sfkr_pvsn_grow,petiole_length,CAT_027,mean,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll3_std,엽병장 roll3_std,sfkr_pvsn_grow,petiole_length,CAT_027,std; ddof=0,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll3_min,엽병장 roll3_min,sfkr_pvsn_grow,petiole_length,CAT_027,min,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll3_max,엽병장 roll3_max,sfkr_pvsn_grow,petiole_length,CAT_027,max,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll3_slope,엽병장 roll3_slope,sfkr_pvsn_grow,petiole_length,CAT_027,slope; per calendar day,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll4_mean,엽병장 roll4_mean,sfkr_pvsn_grow,petiole_length,CAT_027,mean,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll4_std,엽병장 roll4_std,sfkr_pvsn_grow,petiole_length,CAT_027,std; ddof=0,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll4_min,엽병장 roll4_min,sfkr_pvsn_grow,petiole_length,CAT_027,min,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll4_max,엽병장 roll4_max,sfkr_pvsn_grow,petiole_length,CAT_027,max,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
petiole_length__roll4_slope,엽병장 roll4_slope,sfkr_pvsn_grow,petiole_length,CAT_027,slope; per calendar day,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__current,줄기 직경 current,sfkr_pvsn_grow,stem_diameter,CAT_012,current valid observation,current,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__delta,줄기 직경 delta,sfkr_pvsn_grow,stem_diameter,CAT_012,current minus previous,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__delta_per_day,줄기 직경 delta_per_day,sfkr_pvsn_grow,stem_diameter,CAT_012,delta / positive elapsed days,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__lag1,줄기 직경 lag1,sfkr_pvsn_grow,stem_diameter,CAT_012,lag 1,1 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__lag2,줄기 직경 lag2,sfkr_pvsn_grow,stem_diameter,CAT_012,lag 2,2 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__lag3,줄기 직경 lag3,sfkr_pvsn_grow,stem_diameter,CAT_012,lag 3,3 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll2_mean,줄기 직경 roll2_mean,sfkr_pvsn_grow,stem_diameter,CAT_012,mean,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll2_std,줄기 직경 roll2_std,sfkr_pvsn_grow,stem_diameter,CAT_012,std; ddof=0,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll2_min,줄기 직경 roll2_min,sfkr_pvsn_grow,stem_diameter,CAT_012,min,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll2_max,줄기 직경 roll2_max,sfkr_pvsn_grow,stem_diameter,CAT_012,max,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll2_slope,줄기 직경 roll2_slope,sfkr_pvsn_grow,stem_diameter,CAT_012,slope; per calendar day,2 valid surveys including current; min_periods=2,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll3_mean,줄기 직경 roll3_mean,sfkr_pvsn_grow,stem_diameter,CAT_012,mean,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll3_std,줄기 직경 roll3_std,sfkr_pvsn_grow,stem_diameter,CAT_012,std; ddof=0,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll3_min,줄기 직경 roll3_min,sfkr_pvsn_grow,stem_diameter,CAT_012,min,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll3_max,줄기 직경 roll3_max,sfkr_pvsn_grow,stem_diameter,CAT_012,max,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll3_slope,줄기 직경 roll3_slope,sfkr_pvsn_grow,stem_diameter,CAT_012,slope; per calendar day,3 valid surveys including current; min_periods=3,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll4_mean,줄기 직경 roll4_mean,sfkr_pvsn_grow,stem_diameter,CAT_012,mean,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll4_std,줄기 직경 roll4_std,sfkr_pvsn_grow,stem_diameter,CAT_012,std; ddof=0,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll4_min,줄기 직경 roll4_min,sfkr_pvsn_grow,stem_diameter,CAT_012,min,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll4_max,줄기 직경 roll4_max,sfkr_pvsn_grow,stem_diameter,CAT_012,max,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
stem_diameter__roll4_slope,줄기 직경 roll4_slope,sfkr_pvsn_grow,stem_diameter,CAT_012,slope; per calendar day,4 valid surveys including current; min_periods=4,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
theca_diameter__current,관부 직경 current,sfkr_pvsn_grow,theca_diameter,CAT_012,current valid observation,current,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
theca_diameter__delta,관부 직경 delta,sfkr_pvsn_grow,theca_diameter,CAT_012,current minus previous,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
theca_diameter__delta_per_day,관부 직경 delta_per_day,sfkr_pvsn_grow,theca_diameter,CAT_012,delta / positive elapsed days,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
theca_diameter__lag1,관부 직경 lag1,sfkr_pvsn_grow,theca_diameter,CAT_012,lag 1,1 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
theca_diameter__lag2,관부 직경 lag2,sfkr_pvsn_grow,theca_diameter,CAT_012,lag 2,2 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
